Creditability,Account_Balance,Maturity
0,01,"03 [16,36)"
0,02,"01 (-Inf,8)"
0,03,"03 [16,36)"
0,04,"04 [36,45)"
0,04,"02 [8,16)"
0,02,"03 [16,36)"
0,04,"02 [8,16)"
0,04,"04 [36,45)"
0,04,"03 [16,36)"
0,01,"03 [16,36)"
0,01,"02 [8,16)"
0,04,"02 [8,16)"
0,02,"03 [16,36)"
0,03,"02 [8,16)"
0,04,"02 [8,16)"
0,04,"05 [45,Inf)"
0,02,"03 [16,36)"
0,02,"02 [8,16)"
0,04,"03 [16,36)"
0,01,"02 [8,16)"
0,04,"03 [16,36)"
1,02,"05 [45,Inf)"
0,02,"02 [8,16)"
0,04,"02 [8,16)"
0,03,"03 [16,36)"
0,04,"03 [16,36)"
0,04,"02 [8,16)"
0,03,"02 [8,16)"
0,04,"02 [8,16)"
0,04,"03 [16,36)"
0,04,"03 [16,36)"
0,04,"02 [8,16)"
0,04,"01 (-Inf,8)"
0,03,"04 [36,45)"
1,01,"02 [8,16)"
0,03,"02 [8,16)"
0,04,"03 [16,36)"
0,04,"02 [8,16)"
0,04,"03 [16,36)"
0,04,"03 [16,36)"
0,02,"02 [8,16)"
0,04,"03 [16,36)"
0,04,"05 [45,Inf)"
0,04,"02 [8,16)"
0,04,"03 [16,36)"
0,01,"03 [16,36)"
0,04,"03 [16,36)"
0,04,"02 [8,16)"
0,04,"04 [36,45)"
0,04,"02 [8,16)"
0,04,"03 [16,36)"
0,02,"04 [36,45)"
0,03,"03 [16,36)"
0,04,"03 [16,36)"
0,02,"04 [36,45)"
0,02,"05 [45,Inf)"
0,04,"03 [16,36)"
0,04,"02 [8,16)"
0,04,"03 [16,36)"
0,04,"01 (-Inf,8)"
0,04,"03 [16,36)"
0,04,"02 [8,16)"
0,04,"05 [45,Inf)"
0,04,"03 [16,36)"
0,04,"03 [16,36)"
0,03,"03 [16,36)"
0,01,"03 [16,36)"
0,01,"03 [16,36)"
0,02,"03 [16,36)"
0,01,"02 [8,16)"
0,02,"02 [8,16)"
0,02,"05 [45,Inf)"
0,04,"02 [8,16)"
0,03,"01 (-Inf,8)"
0,01,"03 [16,36)"
0,01,"03 [16,36)"
0,03,"01 (-Inf,8)"
0,02,"02 [8,16)"
0,03,"02 [8,16)"
0,04,"02 [8,16)"
0,03,"01 (-Inf,8)"
0,01,"05 [45,Inf)"
0,04,"02 [8,16)"
0,01,"03 [16,36)"
0,03,"03 [16,36)"
0,04,"03 [16,36)"
0,04,"03 [16,36)"
0,01,"03 [16,36)"
0,04,"03 [16,36)"
0,01,"03 [16,36)"
0,04,"02 [8,16)"
0,04,"03 [16,36)"
0,02,"05 [45,Inf)"
0,04,"03 [16,36)"
0,04,"01 (-Inf,8)"
0,04,"04 [36,45)"
0,01,"03 [16,36)"
1,02,"02 [8,16)"
0,01,"03 [16,36)"
0,04,"03 [16,36)"
0,01,"03 [16,36)"
0,04,"01 (-Inf,8)"
0,04,"04 [36,45)"
0,04,"02 [8,16)"
0,04,"05 [45,Inf)"
0,04,"03 [16,36)"
0,04,"03 [16,36)"
0,04,"01 (-Inf,8)"
0,04,"03 [16,36)"
0,04,"03 [16,36)"
0,04,"03 [16,36)"
0,02,"02 [8,16)"
0,04,"03 [16,36)"
0,02,"03 [16,36)"
0,02,"03 [16,36)"
0,04,"02 [8,16)"
0,04,"04 [36,45)"
0,04,"04 [36,45)"
0,03,"02 [8,16)"
0,01,"02 [8,16)"
0,04,"02 [8,16)"
0,01,"02 [8,16)"
0,04,"01 (-Inf,8)"
0,04,"02 [8,16)"
0,04,"02 [8,16)"
0,03,"02 [8,16)"
0,04,"02 [8,16)"
0,04,"02 [8,16)"
0,04,"03 [16,36)"
0,02,"02 [8,16)"
0,04,"04 [36,45)"
0,04,"02 [8,16)"
0,04,"02 [8,16)"
0,04,"01 (-Inf,8)"
0,04,"04 [36,45)"
0,04,"01 (-Inf,8)"
0,04,"03 [16,36)"
0,04,"03 [16,36)"
0,04,"02 [8,16)"
0,04,"02 [8,16)"
0,02,"03 [16,36)"
0,01,"03 [16,36)"
0,03,"02 [8,16)"
0,03,"01 (-Inf,8)"
0,03,"02 [8,16)"
0,04,"02 [8,16)"
0,02,"03 [16,36)"
0,01,"03 [16,36)"
0,04,"01 (-Inf,8)"
0,01,"01 (-Inf,8)"
0,04,"02 [8,16)"
0,04,"02 [8,16)"
0,04,"02 [8,16)"
0,04,"02 [8,16)"
0,04,"02 [8,16)"
0,04,"01 (-Inf,8)"
0,02,"01 (-Inf,8)"
0,04,"02 [8,16)"
0,04,"04 [36,45)"
0,04,"02 [8,16)"
0,04,"01 (-Inf,8)"
0,02,"02 [8,16)"
0,04,"03 [16,36)"
0,01,"02 [8,16)"
0,03,"03 [16,36)"
0,03,"03 [16,36)"
0,04,"02 [8,16)"
1,03,"02 [8,16)"
0,04,"03 [16,36)"
0,01,"01 (-Inf,8)"
0,04,"01 (-Inf,8)"
0,01,"03 [16,36)"
0,04,"05 [45,Inf)"
0,04,"02 [8,16)"
0,04,"05 [45,Inf)"
0,04,"01 (-Inf,8)"
0,02,"03 [16,36)"
0,01,"01 (-Inf,8)"
0,04,"02 [8,16)"
0,04,"03 [16,36)"
0,03,"02 [8,16)"
0,04,"02 [8,16)"
0,04,"01 (-Inf,8)"
0,04,"02 [8,16)"
0,04,"02 [8,16)"
0,04,"02 [8,16)"
0,01,"02 [8,16)"
0,04,"02 [8,16)"
0,04,"03 [16,36)"
0,04,"02 [8,16)"
0,03,"01 (-Inf,8)"
0,04,"03 [16,36)"
0,04,"03 [16,36)"
0,04,"03 [16,36)"
0,04,"03 [16,36)"
0,04,"01 (-Inf,8)"
0,04,"03 [16,36)"
0,04,"03 [16,36)"
0,01,"03 [16,36)"
0,01,"02 [8,16)"
0,01,"02 [8,16)"
0,04,"02 [8,16)"
0,04,"02 [8,16)"
0,04,"03 [16,36)"
0,01,"03 [16,36)"
0,04,"03 [16,36)"
0,04,"02 [8,16)"
0,04,"02 [8,16)"
0,04,"02 [8,16)"
0,04,"02 [8,16)"
0,03,"02 [8,16)"
0,01,"02 [8,16)"
0,04,"02 [8,16)"
0,04,"02 [8,16)"
0,04,"03 [16,36)"
0,04,"05 [45,Inf)"
1,01,"02 [8,16)"
0,04,"01 (-Inf,8)"
0,04,"04 [36,45)"
0,01,"03 [16,36)"
0,04,"02 [8,16)"
0,03,"03 [16,36)"
0,04,"02 [8,16)"
0,04,"02 [8,16)"
0,01,"02 [8,16)"
0,04,"01 (-Inf,8)"
0,04,"02 [8,16)"
0,04,"02 [8,16)"
0,04,"02 [8,16)"
0,03,"03 [16,36)"
0,02,"02 [8,16)"
0,01,"02 [8,16)"
0,01,"03 [16,36)"
0,01,"03 [16,36)"
0,04,"03 [16,36)"
0,02,"03 [16,36)"
0,01,"01 (-Inf,8)"
0,04,"03 [16,36)"
0,01,"03 [16,36)"
1,01,"02 [8,16)"
0,02,"03 [16,36)"
0,02,"02 [8,16)"
0,04,"03 [16,36)"
0,01,"03 [16,36)"
0,01,"03 [16,36)"
0,04,"05 [45,Inf)"
0,02,"02 [8,16)"
0,04,"04 [36,45)"
0,02,"02 [8,16)"
1,02,"02 [8,16)"
0,04,"03 [16,36)"
0,03,"02 [8,16)"
0,01,"03 [16,36)"
0,04,"02 [8,16)"
0,03,"02 [8,16)"
0,03,"01 (-Inf,8)"
0,04,"02 [8,16)"
0,04,"03 [16,36)"
0,02,"02 [8,16)"
0,02,"03 [16,36)"
0,04,"02 [8,16)"
0,04,"02 [8,16)"
0,02,"02 [8,16)"
0,02,"03 [16,36)"
0,02,"02 [8,16)"
0,01,"01 (-Inf,8)"
0,04,"03 [16,36)"
0,04,"03 [16,36)"
0,02,"05 [45,Inf)"
0,04,"02 [8,16)"
0,02,"02 [8,16)"
0,02,"03 [16,36)"
0,04,"04 [36,45)"
0,04,"02 [8,16)"
0,04,"03 [16,36)"
0,04,"02 [8,16)"
0,04,"03 [16,36)"
0,04,"02 [8,16)"
0,04,"03 [16,36)"
0,04,"02 [8,16)"
0,04,"03 [16,36)"
0,04,"03 [16,36)"
0,01,"02 [8,16)"
0,04,"02 [8,16)"
0,02,"02 [8,16)"
0,02,"03 [16,36)"
0,04,"02 [8,16)"
0,04,"02 [8,16)"
0,04,"02 [8,16)"
0,02,"04 [36,45)"
1,02,"02 [8,16)"
0,01,"02 [8,16)"
0,02,"02 [8,16)"
0,04,"03 [16,36)"
1,04,"02 [8,16)"
0,02,"02 [8,16)"
0,02,"03 [16,36)"
0,04,"02 [8,16)"
0,04,"01 (-Inf,8)"
0,04,"02 [8,16)"
0,04,"01 (-Inf,8)"
0,01,"03 [16,36)"
0,02,"03 [16,36)"
0,04,"03 [16,36)"
0,04,"03 [16,36)"
0,01,"04 [36,45)"
0,04,"02 [8,16)"
0,04,"02 [8,16)"
0,04,"02 [8,16)"
0,04,"01 (-Inf,8)"
0,04,"02 [8,16)"
0,04,"04 [36,45)"
0,02,"02 [8,16)"
1,02,"02 [8,16)"
0,01,"03 [16,36)"
0,02,"02 [8,16)"
0,02,"03 [16,36)"
0,01,"02 [8,16)"
0,02,"05 [45,Inf)"
0,02,"03 [16,36)"
0,02,"03 [16,36)"
0,02,"03 [16,36)"
0,04,"02 [8,16)"
0,02,"03 [16,36)"
0,02,"03 [16,36)"
0,04,"02 [8,16)"
1,01,"03 [16,36)"
0,02,"02 [8,16)"
0,03,"02 [8,16)"
0,02,"02 [8,16)"
0,04,"02 [8,16)"
0,02,"04 [36,45)"
0,04,"02 [8,16)"
0,04,"03 [16,36)"
0,04,"03 [16,36)"
0,04,"04 [36,45)"
0,04,"02 [8,16)"
0,03,"04 [36,45)"
0,04,"03 [16,36)"
0,04,"03 [16,36)"
0,04,"03 [16,36)"
0,04,"02 [8,16)"
0,02,"03 [16,36)"
0,04,"03 [16,36)"
0,02,"03 [16,36)"
0,04,"03 [16,36)"
0,04,"02 [8,16)"
0,04,"02 [8,16)"
0,04,"02 [8,16)"
0,04,"03 [16,36)"
0,02,"03 [16,36)"
0,04,"02 [8,16)"
0,04,"02 [8,16)"
0,04,"03 [16,36)"
0,04,"02 [8,16)"
0,01,"03 [16,36)"
0,04,"03 [16,36)"
0,01,"02 [8,16)"
0,04,"03 [16,36)"
0,04,"01 (-Inf,8)"
0,04,"03 [16,36)"
0,04,"02 [8,16)"
0,01,"02 [8,16)"
0,04,"03 [16,36)"
0,04,"03 [16,36)"
0,04,"01 (-Inf,8)"
0,04,"03 [16,36)"
0,04,"03 [16,36)"
0,04,"01 (-Inf,8)"
0,04,"02 [8,16)"
0,04,"03 [16,36)"
0,04,"03 [16,36)"
0,01,"01 (-Inf,8)"
0,04,"01 (-Inf,8)"
0,04,"01 (-Inf,8)"
0,02,"03 [16,36)"
0,02,"03 [16,36)"
0,04,"02 [8,16)"
0,02,"03 [16,36)"
0,02,"03 [16,36)"
1,04,"04 [36,45)"
1,04,"03 [16,36)"
1,04,"04 [36,45)"
1,04,"04 [36,45)"
1,04,"04 [36,45)"
0,04,"01 (-Inf,8)"
0,04,"03 [16,36)"
0,02,"02 [8,16)"
0,04,"04 [36,45)"
0,01,"02 [8,16)"
0,02,"02 [8,16)"
0,04,"03 [16,36)"
0,04,"03 [16,36)"
0,04,"01 (-Inf,8)"
0,04,"03 [16,36)"
0,03,"02 [8,16)"
0,01,"03 [16,36)"
0,01,"03 [16,36)"
0,02,"03 [16,36)"
0,04,"01 (-Inf,8)"
0,04,"01 (-Inf,8)"
0,04,"01 (-Inf,8)"
0,02,"03 [16,36)"
1,02,"02 [8,16)"
0,02,"05 [45,Inf)"
1,02,"02 [8,16)"
0,02,"03 [16,36)"
0,04,"01 (-Inf,8)"
0,02,"02 [8,16)"
0,02,"03 [16,36)"
0,03,"02 [8,16)"
0,02,"02 [8,16)"
0,04,"02 [8,16)"
0,02,"02 [8,16)"
0,04,"02 [8,16)"
0,04,"02 [8,16)"
0,04,"02 [8,16)"
0,02,"02 [8,16)"
0,04,"03 [16,36)"
0,02,"05 [45,Inf)"
0,03,"02 [8,16)"
0,04,"03 [16,36)"
0,02,"02 [8,16)"
0,04,"03 [16,36)"
0,04,"03 [16,36)"
1,02,"05 [45,Inf)"
0,03,"03 [16,36)"
0,04,"03 [16,36)"
0,02,"03 [16,36)"
0,02,"04 [36,45)"
0,04,"01 (-Inf,8)"
0,04,"02 [8,16)"
0,04,"05 [45,Inf)"
0,03,"02 [8,16)"
0,04,"04 [36,45)"
0,02,"03 [16,36)"
0,02,"03 [16,36)"
0,02,"04 [36,45)"
0,02,"05 [45,Inf)"
1,01,"04 [36,45)"
1,01,"02 [8,16)"
1,01,"03 [16,36)"
1,01,"04 [36,45)"
1,01,"03 [16,36)"
1,01,"03 [16,36)"
1,04,"03 [16,36)"
1,01,"02 [8,16)"
1,01,"02 [8,16)"
0,01,"03 [16,36)"
0,01,"03 [16,36)"
0,01,"04 [36,45)"
0,01,"03 [16,36)"
0,02,"02 [8,16)"
0,01,"02 [8,16)"
0,01,"02 [8,16)"
1,01,"04 [36,45)"
1,01,"03 [16,36)"
0,01,"03 [16,36)"
0,01,"04 [36,45)"
0,01,"02 [8,16)"
0,01,"03 [16,36)"
0,01,"03 [16,36)"
1,01,"04 [36,45)"
1,01,"04 [36,45)"
0,04,"03 [16,36)"
0,01,"01 (-Inf,8)"
0,01,"02 [8,16)"
1,01,"04 [36,45)"
0,01,"02 [8,16)"
0,02,"01 (-Inf,8)"
0,01,"01 (-Inf,8)"
0,01,"05 [45,Inf)"
0,02,"03 [16,36)"
1,02,"02 [8,16)"
0,01,"02 [8,16)"
0,01,"02 [8,16)"
0,01,"02 [8,16)"
0,01,"03 [16,36)"
0,01,"02 [8,16)"
0,01,"03 [16,36)"
0,01,"03 [16,36)"
1,01,"03 [16,36)"
0,02,"02 [8,16)"
0,04,"03 [16,36)"
0,04,"03 [16,36)"
0,01,"02 [8,16)"
0,01,"02 [8,16)"
0,01,"03 [16,36)"
0,01,"01 (-Inf,8)"
0,04,"02 [8,16)"
0,04,"03 [16,36)"
0,04,"01 (-Inf,8)"
0,01,"02 [8,16)"
0,01,"02 [8,16)"
0,01,"04 [36,45)"
0,01,"03 [16,36)"
0,01,"04 [36,45)"
0,01,"04 [36,45)"
0,01,"03 [16,36)"
1,01,"02 [8,16)"
0,01,"02 [8,16)"
0,01,"03 [16,36)"
0,01,"03 [16,36)"
0,01,"04 [36,45)"
0,03,"04 [36,45)"
0,01,"03 [16,36)"
1,01,"05 [45,Inf)"
0,04,"03 [16,36)"
0,01,"04 [36,45)"
0,04,"03 [16,36)"
0,04,"05 [45,Inf)"
0,02,"03 [16,36)"
0,02,"03 [16,36)"
0,02,"03 [16,36)"
0,02,"01 (-Inf,8)"
0,02,"02 [8,16)"
0,04,"03 [16,36)"
0,02,"05 [45,Inf)"
0,02,"03 [16,36)"
1,02,"03 [16,36)"
0,02,"01 (-Inf,8)"
0,02,"01 (-Inf,8)"
0,02,"01 (-Inf,8)"
0,02,"02 [8,16)"
0,02,"02 [8,16)"
0,02,"02 [8,16)"
0,02,"01 (-Inf,8)"
0,01,"02 [8,16)"
0,02,"02 [8,16)"
0,02,"01 (-Inf,8)"
0,02,"02 [8,16)"
0,02,"03 [16,36)"
0,02,"01 (-Inf,8)"
0,02,"02 [8,16)"
0,02,"03 [16,36)"
0,02,"03 [16,36)"
0,02,"02 [8,16)"
0,02,"02 [8,16)"
0,03,"01 (-Inf,8)"
0,01,"02 [8,16)"
0,02,"03 [16,36)"
0,02,"02 [8,16)"
0,02,"01 (-Inf,8)"
0,02,"02 [8,16)"
0,02,"02 [8,16)"
0,02,"03 [16,36)"
0,02,"02 [8,16)"
0,01,"02 [8,16)"
0,04,"03 [16,36)"
0,02,"02 [8,16)"
0,02,"04 [36,45)"
0,03,"03 [16,36)"
1,01,"03 [16,36)"
0,04,"05 [45,Inf)"
0,01,"02 [8,16)"
0,02,"01 (-Inf,8)"
0,04,"02 [8,16)"
0,04,"02 [8,16)"
0,04,"05 [45,Inf)"
0,03,"02 [8,16)"
0,04,"03 [16,36)"
0,02,"05 [45,Inf)"
0,01,"03 [16,36)"
1,01,"04 [36,45)"
0,02,"04 [36,45)"
0,01,"03 [16,36)"
0,01,"03 [16,36)"
0,01,"01 (-Inf,8)"
0,04,"02 [8,16)"
0,03,"03 [16,36)"
0,02,"03 [16,36)"
1,01,"05 [45,Inf)"
0,04,"05 [45,Inf)"
0,04,"03 [16,36)"
0,01,"04 [36,45)"
0,04,"04 [36,45)"
0,04,"02 [8,16)"
0,04,"01 (-Inf,8)"
0,04,"04 [36,45)"
0,01,"05 [45,Inf)"
1,04,"03 [16,36)"
1,02,"03 [16,36)"
1,02,"05 [45,Inf)"
1,02,"05 [45,Inf)"
0,03,"02 [8,16)"
0,04,"03 [16,36)"
0,04,"04 [36,45)"
0,01,"03 [16,36)"
0,02,"03 [16,36)"
0,04,"03 [16,36)"
0,04,"02 [8,16)"
0,04,"04 [36,45)"
0,02,"05 [45,Inf)"
0,02,"04 [36,45)"
0,04,"05 [45,Inf)"
0,04,"02 [8,16)"
0,01,"02 [8,16)"
0,01,"04 [36,45)"
0,04,"01 (-Inf,8)"
0,02,"02 [8,16)"
0,04,"03 [16,36)"
0,02,"02 [8,16)"
0,02,"03 [16,36)"
0,04,"02 [8,16)"
0,04,"02 [8,16)"
1,01,"03 [16,36)"
0,04,"03 [16,36)"
0,04,"03 [16,36)"
0,04,"01 (-Inf,8)"
0,02,"03 [16,36)"
0,04,"03 [16,36)"
0,02,"02 [8,16)"
0,03,"03 [16,36)"
0,02,"04 [36,45)"
1,01,"02 [8,16)"
1,02,"02 [8,16)"
1,02,"03 [16,36)"
1,02,"01 (-Inf,8)"
1,01,"02 [8,16)"
1,01,"03 [16,36)"
1,01,"02 [8,16)"
1,02,"03 [16,36)"
1,02,"04 [36,45)"
1,02,"05 [45,Inf)"
1,01,"03 [16,36)"
1,04,"03 [16,36)"
1,02,"05 [45,Inf)"
1,04,"03 [16,36)"
1,04,"02 [8,16)"
1,02,"04 [36,45)"
1,04,"03 [16,36)"
1,02,"02 [8,16)"
1,01,"02 [8,16)"
1,01,"03 [16,36)"
1,01,"02 [8,16)"
1,01,"03 [16,36)"
1,01,"04 [36,45)"
1,01,"04 [36,45)"
1,01,"04 [36,45)"
1,02,"03 [16,36)"
1,01,"01 (-Inf,8)"
1,02,"03 [16,36)"
1,04,"02 [8,16)"
1,02,"03 [16,36)"
1,01,"03 [16,36)"
1,02,"04 [36,45)"
1,02,"01 (-Inf,8)"
1,01,"02 [8,16)"
1,04,"03 [16,36)"
1,02,"01 (-Inf,8)"
1,02,"02 [8,16)"
1,02,"03 [16,36)"
1,02,"03 [16,36)"
1,02,"02 [8,16)"
1,03,"02 [8,16)"
1,01,"03 [16,36)"
1,01,"02 [8,16)"
1,03,"03 [16,36)"
1,02,"04 [36,45)"
1,03,"03 [16,36)"
1,03,"03 [16,36)"
1,01,"03 [16,36)"
1,03,"03 [16,36)"
1,01,"03 [16,36)"
1,01,"03 [16,36)"
1,01,"03 [16,36)"
1,02,"03 [16,36)"
1,01,"02 [8,16)"
1,01,"03 [16,36)"
1,02,"03 [16,36)"
1,01,"05 [45,Inf)"
1,01,"03 [16,36)"
1,01,"01 (-Inf,8)"
1,02,"05 [45,Inf)"
1,01,"05 [45,Inf)"
1,04,"03 [16,36)"
1,01,"03 [16,36)"
1,02,"02 [8,16)"
1,04,"03 [16,36)"
1,03,"02 [8,16)"
1,01,"02 [8,16)"
1,02,"02 [8,16)"
1,04,"02 [8,16)"
1,02,"05 [45,Inf)"
1,01,"04 [36,45)"
1,01,"03 [16,36)"
1,01,"03 [16,36)"
1,01,"03 [16,36)"
1,02,"01 (-Inf,8)"
1,02,"05 [45,Inf)"
1,01,"02 [8,16)"
1,02,"02 [8,16)"
1,02,"05 [45,Inf)"
1,02,"04 [36,45)"
1,04,"04 [36,45)"
1,04,"04 [36,45)"
1,03,"04 [36,45)"
1,04,"01 (-Inf,8)"
1,02,"03 [16,36)"
1,04,"03 [16,36)"
1,02,"03 [16,36)"
1,04,"03 [16,36)"
1,04,"02 [8,16)"
1,01,"04 [36,45)"
1,02,"03 [16,36)"
1,04,"02 [8,16)"
1,02,"03 [16,36)"
1,02,"03 [16,36)"
1,02,"03 [16,36)"
1,02,"03 [16,36)"
1,02,"05 [45,Inf)"
1,02,"04 [36,45)"
1,02,"04 [36,45)"
1,02,"05 [45,Inf)"
1,01,"02 [8,16)"
1,02,"03 [16,36)"
1,03,"03 [16,36)"
1,04,"03 [16,36)"
1,01,"05 [45,Inf)"
1,01,"03 [16,36)"
1,01,"04 [36,45)"
1,01,"04 [36,45)"
1,01,"02 [8,16)"
1,04,"05 [45,Inf)"
1,01,"05 [45,Inf)"
1,02,"02 [8,16)"
1,04,"03 [16,36)"
1,01,"04 [36,45)"
1,03,"02 [8,16)"
1,02,"02 [8,16)"
1,02,"04 [36,45)"
1,02,"02 [8,16)"
1,02,"03 [16,36)"
1,01,"05 [45,Inf)"
1,04,"04 [36,45)"
1,04,"03 [16,36)"
1,04,"04 [36,45)"
1,02,"03 [16,36)"
1,02,"03 [16,36)"
1,02,"03 [16,36)"
1,01,"05 [45,Inf)"
1,01,"02 [8,16)"
1,01,"03 [16,36)"
1,01,"03 [16,36)"
1,03,"02 [8,16)"
1,01,"05 [45,Inf)"
1,02,"02 [8,16)"
1,02,"02 [8,16)"
1,02,"05 [45,Inf)"
1,01,"03 [16,36)"
1,01,"04 [36,45)"
1,01,"03 [16,36)"
1,02,"04 [36,45)"
1,02,"05 [45,Inf)"
1,01,"04 [36,45)"
1,02,"02 [8,16)"
1,01,"03 [16,36)"
1,02,"03 [16,36)"
1,02,"03 [16,36)"
1,04,"03 [16,36)"
1,04,"03 [16,36)"
1,02,"03 [16,36)"
1,04,"02 [8,16)"
1,01,"03 [16,36)"
1,01,"02 [8,16)"
1,02,"04 [36,45)"
1,01,"03 [16,36)"
1,01,"03 [16,36)"
1,01,"03 [16,36)"
1,01,"03 [16,36)"
1,01,"03 [16,36)"
1,01,"03 [16,36)"
1,01,"05 [45,Inf)"
1,01,"03 [16,36)"
1,01,"02 [8,16)"
1,01,"04 [36,45)"
1,01,"04 [36,45)"
1,01,"03 [16,36)"
1,01,"03 [16,36)"
1,01,"02 [8,16)"
1,02,"02 [8,16)"
1,01,"05 [45,Inf)"
1,01,"05 [45,Inf)"
1,01,"03 [16,36)"
1,01,"02 [8,16)"
1,01,"03 [16,36)"
1,01,"03 [16,36)"
1,01,"03 [16,36)"
1,01,"03 [16,36)"
1,01,"03 [16,36)"
1,01,"02 [8,16)"
1,01,"05 [45,Inf)"
1,02,"05 [45,Inf)"
1,02,"03 [16,36)"
1,01,"02 [8,16)"
1,02,"02 [8,16)"
1,01,"02 [8,16)"
1,01,"03 [16,36)"
1,01,"03 [16,36)"
1,02,"02 [8,16)"
1,02,"03 [16,36)"
1,02,"03 [16,36)"
1,02,"04 [36,45)"
1,04,"05 [45,Inf)"
1,02,"02 [8,16)"
1,04,"02 [8,16)"
1,02,"04 [36,45)"
1,01,"02 [8,16)"
1,02,"02 [8,16)"
1,04,"02 [8,16)"
1,04,"03 [16,36)"
1,01,"03 [16,36)"
1,04,"02 [8,16)"
1,02,"05 [45,Inf)"
1,03,"02 [8,16)"
1,02,"03 [16,36)"
1,04,"05 [45,Inf)"
1,03,"02 [8,16)"
1,01,"03 [16,36)"
1,02,"03 [16,36)"
1,02,"03 [16,36)"
1,02,"03 [16,36)"
1,02,"03 [16,36)"
1,04,"03 [16,36)"
1,02,"02 [8,16)"
1,02,"05 [45,Inf)"
1,01,"03 [16,36)"
1,02,"02 [8,16)"
1,02,"05 [45,Inf)"
1,04,"03 [16,36)"
1,01,"03 [16,36)"
1,01,"05 [45,Inf)"
1,01,"03 [16,36)"
